Operation,sum_sq,df,F,PR(>F)
generate_median_time,2.7638612850801207,13.0,1083.3101265403434,1.5470612273217003e-154
generate_median_time,0.9060146186208048,2.0,2308.262106671118,6.599698489411677e-123
generate_median_time,2.186098968341901,26.0,428.4265572241856,1.4556882315518634e-139
generate_median_time,0.03297079120442846,168.0,,
encapsulate_median_time,244.79925249583115,13.0,37841.27099538865,1.0161635992137804e-283
encapsulate_median_time,45.54078619274258,2.0,45758.26066298068,1.2391213017827014e-230
encapsulate_median_time,178.10447206741276,26.0,13765.768327067031,1.5314160219600324e-265
encapsulate_median_time,0.0836007746965177,168.0,,
decapsulate_median_time,0.02069616019505981,13.0,254737.12952245557,0.0
decapsulate_median_time,0.002122775710810727,2.0,169832.16256638995,1.9940955357343394e-278
decapsulate_median_time,0.025019135329327414,26.0,153973.07174033264,0.0
decapsulate_median_time,1.04993752074726e-06,168.0,,
