pair,method,interpretation
"BIKE-L1 vs ML-KEM-512 (Unconstrained, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ML-KEM-768 (Unconstrained, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ML-KEM-1024 (Unconstrained, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs FrodoKEM-640-AES (Unconstrained, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ECDH-X25519 (Unconstrained, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ECDSA-P256 (Unconstrained, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs RSA-2048 (Unconstrained, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs Dilithium2 (Unconstrained, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs Dilithium3 (Unconstrained, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs Dilithium5 (Unconstrained, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs SPHINCS+SHA2-128s-simple (Unconstrained, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs SPHINCS+SHA2-192s-simple (Unconstrained, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs SPHINCS+SHA2-256s-simple (Unconstrained, generate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs ML-KEM-768 (Unconstrained, generate_median_time)",Cliff's Delta,medium
"ML-KEM-512 vs ML-KEM-1024 (Unconstrained, generate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs FrodoKEM-640-AES (Unconstrained, generate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs ECDH-X25519 (Unconstrained, generate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs ECDSA-P256 (Unconstrained, generate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs RSA-2048 (Unconstrained, generate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs Dilithium2 (Unconstrained, generate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs Dilithium3 (Unconstrained, generate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs Dilithium5 (Unconstrained, generate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs SPHINCS+SHA2-128s-simple (Unconstrained, generate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs SPHINCS+SHA2-192s-simple (Unconstrained, generate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs SPHINCS+SHA2-256s-simple (Unconstrained, generate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs ML-KEM-1024 (Unconstrained, generate_median_time)",Cliff's Delta,small
"ML-KEM-768 vs FrodoKEM-640-AES (Unconstrained, generate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs ECDH-X25519 (Unconstrained, generate_median_time)",Cliff's Delta,small
"ML-KEM-768 vs ECDSA-P256 (Unconstrained, generate_median_time)",Cliff's Delta,small
"ML-KEM-768 vs RSA-2048 (Unconstrained, generate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs Dilithium2 (Unconstrained, generate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs Dilithium3 (Unconstrained, generate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs Dilithium5 (Unconstrained, generate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs SPHINCS+SHA2-128s-simple (Unconstrained, generate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs SPHINCS+SHA2-192s-simple (Unconstrained, generate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs SPHINCS+SHA2-256s-simple (Unconstrained, generate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs FrodoKEM-640-AES (Unconstrained, generate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs ECDH-X25519 (Unconstrained, generate_median_time)",Cliff's Delta,small
"ML-KEM-1024 vs ECDSA-P256 (Unconstrained, generate_median_time)",Cliff's Delta,small
"ML-KEM-1024 vs RSA-2048 (Unconstrained, generate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs Dilithium2 (Unconstrained, generate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs Dilithium3 (Unconstrained, generate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs Dilithium5 (Unconstrained, generate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs SPHINCS+SHA2-128s-simple (Unconstrained, generate_median_time)",Cliff's Delta,large
