Resource Level,Operation,Algorithm_1,Algorithm_2,Dunn_P_Value,Significant
Unconstrained,generate_median_time,BIKE-L1,ML-KEM-512,0.14197965716972322,False
Unconstrained,generate_median_time,BIKE-L1,ML-KEM-768,0.5936447436845403,False
Unconstrained,generate_median_time,BIKE-L1,ML-KEM-1024,1.0,False
Unconstrained,generate_median_time,BIKE-L1,FrodoKEM-640-AES,1.0,False
Unconstrained,generate_median_time,BIKE-L1,ECDH-X25519,0.4679879002703455,False
Unconstrained,generate_median_time,BIKE-L1,ECDSA-P256,1.0,False
Unconstrained,generate_median_time,BIKE-L1,RSA-2048,1.0,False
Unconstrained,generate_median_time,BIKE-L1,Dilithium2,1.0,False
Unconstrained,generate_median_time,BIKE-L1,Dilithium3,1.0,False
Unconstrained,generate_median_time,BIKE-L1,Dilithium5,1.0,False
Unconstrained,generate_median_time,BIKE-L1,SPHINCS+SHA2-128s-simple,1.0,False
Unconstrained,generate_median_time,BIKE-L1,SPHINCS+SHA2-192s-simple,1.0,False
Unconstrained,generate_median_time,BIKE-L1,SPHINCS+SHA2-256s-simple,1.0,False
Unconstrained,generate_median_time,ML-KEM-512,ML-KEM-768,1.0,False
Unconstrained,generate_median_time,ML-KEM-512,ML-KEM-1024,1.0,False
Unconstrained,generate_median_time,ML-KEM-512,FrodoKEM-640-AES,0.5028935278853893,False
Unconstrained,generate_median_time,ML-KEM-512,ECDH-X25519,1.0,False
Unconstrained,generate_median_time,ML-KEM-512,ECDSA-P256,1.0,False
Unconstrained,generate_median_time,ML-KEM-512,RSA-2048,0.034810661156581706,True
Unconstrained,generate_median_time,ML-KEM-512,Dilithium2,1.0,False
Unconstrained,generate_median_time,ML-KEM-512,Dilithium3,1.0,False
Unconstrained,generate_median_time,ML-KEM-512,Dilithium5,1.0,False
Unconstrained,generate_median_time,ML-KEM-512,SPHINCS+SHA2-128s-simple,0.007400818868899211,True
Unconstrained,generate_median_time,ML-KEM-512,SPHINCS+SHA2-192s-simple,0.0002170975988705619,True
Unconstrained,generate_median_time,ML-KEM-512,SPHINCS+SHA2-256s-simple,0.0013627082432033984,True
Unconstrained,generate_median_time,ML-KEM-768,ML-KEM-1024,1.0,False
Unconstrained,generate_median_time,ML-KEM-768,FrodoKEM-640-AES,1.0,False
Unconstrained,generate_median_time,ML-KEM-768,ECDH-X25519,1.0,False
Unconstrained,generate_median_time,ML-KEM-768,ECDSA-P256,1.0,False
Unconstrained,generate_median_time,ML-KEM-768,RSA-2048,0.170919795881567,False
Unconstrained,generate_median_time,ML-KEM-768,Dilithium2,1.0,False
Unconstrained,generate_median_time,ML-KEM-768,Dilithium3,1.0,False
Unconstrained,generate_median_time,ML-KEM-768,Dilithium5,1.0,False
Unconstrained,generate_median_time,ML-KEM-768,SPHINCS+SHA2-128s-simple,0.04274627402255434,True
Unconstrained,generate_median_time,ML-KEM-768,SPHINCS+SHA2-192s-simple,0.0017420540612749526,True
Unconstrained,generate_median_time,ML-KEM-768,SPHINCS+SHA2-256s-simple,0.009271897501749218,True
Unconstrained,generate_median_time,ML-KEM-1024,FrodoKEM-640-AES,1.0,False
Unconstrained,generate_median_time,ML-KEM-1024,ECDH-X25519,1.0,False
Unconstrained,generate_median_time,ML-KEM-1024,ECDSA-P256,1.0,False
Unconstrained,generate_median_time,ML-KEM-1024,RSA-2048,0.39490301889908236,False
Unconstrained,generate_median_time,ML-KEM-1024,Dilithium2,1.0,False
Unconstrained,generate_median_time,ML-KEM-1024,Dilithium3,1.0,False
Unconstrained,generate_median_time,ML-KEM-1024,Dilithium5,1.0,False
Unconstrained,generate_median_time,ML-KEM-1024,SPHINCS+SHA2-128s-simple,0.10840456312386217,False
Unconstrained,generate_median_time,ML-KEM-1024,SPHINCS+SHA2-192s-simple,0.005337217080219108,True
Unconstrained,generate_median_time,ML-KEM-1024,SPHINCS+SHA2-256s-simple,0.025834361359242747,True
Unconstrained,generate_median_time,FrodoKEM-640-AES,ECDH-X25519,1.0,False
Unconstrained,generate_median_time,FrodoKEM-640-AES,ECDSA-P256,1.0,False
Unconstrained,generate_median_time,FrodoKEM-640-AES,RSA-2048,1.0,False
