,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,0.07471244864993534,0.1430947452424813,0.5221187439366226,0.6017778219526555,-0.20630751422757712,0.35573241152744783
C(algorithm)[T.Dilithium2],-0.027178827921548555,0.16143264444685382,-0.16836017284283697,0.8663559280152971,-0.34421210313231115,0.289854447289214
C(algorithm)[T.Dilithium3],-0.027057170867919266,0.1614326444468539,-0.1676065640913595,0.8669485393087161,-0.344090446078682,0.2899761043428435
C(algorithm)[T.Dilithium5],-0.026936589346991155,0.16143264444685376,-0.16685961776373623,0.8675359854940287,-0.34396986455775364,0.2900966858637713
C(algorithm)[T.ECDH-X25519],-0.027233929104274537,0.16143264444685387,-0.16870149899105671,0.8660875459509145,-0.3442672043150372,0.28979934610648816
C(algorithm)[T.ECDSA-P256],-0.027225963274637492,0.16143264444685385,-0.16865215438876557,0.8661263442670301,-0.34425923848540013,0.28980731193612513
C(algorithm)[T.FrodoKEM-640-AES],-0.02670318020714589,0.1614326444468537,-0.16541375691790156,0.8686733106824807,-0.34373645541790826,0.29033009500361645
C(algorithm)[T.ML-KEM-1024],-0.027256539132859137,0.16143264444685387,-0.16884155758120167,0.8659774234606413,-0.3442898143436218,0.28977673607790355
C(algorithm)[T.ML-KEM-512],-0.02728468841976528,0.16143264444685382,-0.1690159292951918,0.8658403255732299,-0.34431796363052786,0.2897485867909973
C(algorithm)[T.ML-KEM-768],-0.02726934485965296,0.16143264444685373,-0.16892088309084521,0.8659150541291318,-0.34430262007041534,0.2897639303511095
C(algorithm)[T.RSA-2048],0.03133416705661404,0.1614326444468538,0.19410056227462563,0.846161973709721,-0.28569910815414845,0.3483674422673766
C(algorithm)[T.SPHINCS+SHA2-128s-simple],0.6106432570351502,0.16143264444685385,3.782650399660544,0.00017050400890064414,0.2936099818243876,0.9276765322459128
C(algorithm)[T.SPHINCS+SHA2-192s-simple],1.1307205200195325,0.16143264444685382,7.004286672586743,6.600627142180856e-12,0.81368724480877,1.447753795230295
C(algorithm)[T.SPHINCS+SHA2-256s-simple],0.9842986053890658,0.1614326444468539,6.097271148358794,1.918353784165508e-09,0.667265330178303,1.3013318805998284
C(operation)[T.encapsulate_median_time],0.5412616252899182,0.07472879349416656,7.243013033954173,1.3335816463028898e-12,0.3945037360464946,0.6880195145333418
C(operation)[T.generate_median_time],0.0698136545362914,0.07472879349416643,0.9342269729236466,0.3505576966669717,-0.07694423470713191,0.21657154377971471
C(resource)[T.moderate],-0.3426182951245985,0.07472879349416645,-4.584823052861737,5.518182232392601e-06,-0.4893761843680219,-0.19586040588117518
C(resource)[T.unconstrained],-0.40542361452466125,0.07472879349416654,-5.425266427676359,8.364732664923936e-08,-0.5521815037680848,-0.2586657252812377
C(repetition)[T.2],-0.0011216761573909217,0.09647445756169329,-0.0116266645673922,0.9907272867669006,-0.1905852964788347,0.18834194416405287
C(repetition)[T.3],-0.0024951809928526088,0.09647445756169329,-0.025863643661919483,0.9793745848618762,-0.1919588013142964,0.18696843932859117
C(repetition)[T.4],-0.0018631399623928431,0.09647445756169326,-0.01931226160252217,0.9845983382035913,-0.19132676028383658,0.1876004803590509
C(repetition)[T.5],-0.0031961543219428683,0.09647445756169329,-0.033129539182938636,0.9735821595875729,-0.19265977464338666,0.18626746599950092


# --- Column Explanations ---

# coef: Coefficient estimate for the corresponding predictor. It represents the expected change in the dependent variable (time) for a one-unit change in the predictor, holding other predictors constant.
# std err: Standard error of the coefficient estimate. It measures the precision of the coefficient estimate.
# t: The t-statistic, which is the ratio of the coefficient to its standard error. Used to test the null hypothesis that the coefficient is equal to zero.
# P>|t|: The p-value associated with the t-statistic. If P>|t| < 0.05 (or another chosen alpha level), the coefficient is considered statistically significant, meaning the predictor has a significant effect on the dependent variable.
# [0.025: The lower bound of the 95% confidence interval for the coefficient estimate.
# 0.975]: The upper bound of the 95% confidence interval for the coefficient estimate. This interval provides a range within which the true population coefficient is likely to fall.
